1H-13C HMBC NSN Honey Sample			
Peak	(F2) [ppm]	(F1) [ppm]	Intensity [abs]
690	3.6517	67.4199	2227684560.00
691	3.4571	63.525	-2234774400.00
692	3.8312	66.4923	-2248991846.00
693	3.5635	75.7302	2253678474.00
694	3.4422	69.8254	2254340332.00
695	3.6278	92.0974	-2286319340.00
696	3.5039	69.6241	2292674596.00
697	3.5836	71.3572	2294266630.00
698	3.2905	72.7723	-2302003422.00
699	3.7562	81.3182	2335028072.00
700	3.3191	70.3591	-2341898416.00
701	3.7121	75.9022	2344129450.00
702	3.4251	70.5254	2360469645.00
703	3.317	74.244	-2362186220.00
704	3.4085	68.5649	2381585600.00
705	3.6092	71.4565	-2389480776.00
706	3.6865	74.5006	2389938630.00
707	3.618	72.7678	-2390763100.00
708	3.2834	76.8392	2402391114.00
709	3.7903	65.2061	-2416589742.00
710	3.424	75.904	-2439331580.00
711	3.3516	95.8641	2443424390.00
712	3.4514	99.0842	2450934502.00
713	3.4631	91.9905	2451739240.00
714	3.4907	63.4932	2462057986.00
715	3.5532	69.8731	-2463582562.00
716	3.2466	71.3661	-2475695680.00
717	4.2311	74.36	-2483069940.00
718	4.1897	74.6204	-2492005846.00
719	3.4024	75.3458	2509959086.00
720	3.7347	75.9236	-2526319643.00
721	3.9167	98.967	2529850366.00
722	3.8892	61.1054	-2538135373.00
723	3.8399	68.5103	2542694748.00
724	3.5471	71.0706	-2567089746.00
725	3.8822	68.6449	-2569152828.00
726	4.5421	74.2929	2573707414.00
727	3.7371	80.7461	-2593446220.00
728	3.7051	72.0722	-2594374998.00
